0001,1,93,127,113,222,0
0002,2,96,129,111,218,0
0003,3,99,132,109,214,0
0004,4,102,134,107,211,0
0005,5,104,136,105,209,0
0006,6,105,137,103,206,0
0007,7,106,137,102,201,0
0008,8,107,138,104,203,0
0009,9,104,135,107,207,0
0010,10,106,137,109,211,0
0011,11,111,142,112,214,0
0012,12,119,150,118,218,0
0013,13,125,156,114,212,0
0014,14,128,159,96,193,0
0015,15,132,163,92,188,0
0016,16,136,167,89,185,0
0017,17,131,162,89,184,0
0018,18,121,152,82,177,0
0019,19,124,155,85,179,0
0020,20,118,149,92,186,0
0021,21,112,143,102,196,0
0022,22,101,132,104,198,0
0023,23,93,124,106,200,0
0024,24,99,130,111,205,0
0025,25,97,128,107,201,0
0026,26,96,127,98,192,0
0027,27,97,128,95,189,0
0028,28,97,128,91,185,0
0029,29,96,127,87,181,0
0030,30,99,130,88,182,0
0031,31,104,135,97,191,0
0032,32,108,138,104,198,0
0033,33,113,141,109,203,0
0034,34,120,148,112,205,0
0035,35,120,148,111,202,0
0036,36,116,144,103,193,0
0037,37,119,147,93,182,0
0038,38,115,142,84,173,0
0039,39,109,136,79,169,0
0040,40,106,133,76,166,0
0041,41,104,131,74,165,0
0042,42,102,129,82,172,0
0043,43,99,126,98,188,0
0044,44,90,117,114,202,0
0045,45,85,112,123,209,0
0046,46,85,112,119,205,0
0047,47,86,113,111,197,0
0048,48,87,114,103,189,0
0049,49,89,116,96,182,0
0050,50,92,119,90,176,0
0051,51,94,121,86,172,0
0052,52,98,125,85,171,0
0053,53,101,128,84,170,0
0054,54,103,130,91,176,0
0055,55,105,132,103,188,0
0056,56,112,139,112,196,0
0057,57,112,138,113,196,0
0058,58,119,145,112,194,0
0059,59,124,149,108,188,0
0060,60,123,148,100,178,0
0061,61,116,141,95,173,0
0062,62,108,133,87,165,0
0063,63,107,132,84,162,0
0064,64,103,128,82,160,0
0065,65,97,122,88,166,0
0066,66,92,117,95,173,0
0067,67,85,106,105,184,0
0068,68,81,106,115,193,0
0069,69,80,105,116,194,0
0070,70,78,103,111,189,0
0071,71,76,101,105,183,0
0072,72,82,107,102,180,0
0073,73,90,115,99,177,0
0074,74,95,120,92,169,0
0075,75,97,121,89,166,0
0076,76,102,126,87,164,0
0077,77,107,131,88,164,0
0078,78,113,137,96,172,0
0079,79,125,149,111,187,0
0080,80,133,156,116,192,0
0081,81,146,169,113,188,0
0082,82,155,178,104,179,0
0083,83,165,188,101,176,0
0084,84,163,186,101,176,0
0085,85,149,172,99,174,0
0086,86,144,167,95,170,0
0087,87,137,160,86,161,0
0088,88,129,152,85,160,0
0089,89,123,146,96,171,0
0090,90,115,138,110,185,0
0091,91,109,132,124,199,0
0092,92,111,134,131,206,0
0093,93,115,138,139,214,0
0094,94,115,138,136,211,0
0095,95,115,138,129,203,0
0096,96,115,138,121,195,0
0097,97,114,137,115,188,0
0098,98,116,139,113,186,0
0099,99,118,141,110,182,0
0100,100,121,144,108,180,0
0101,101,122,145,108,179,0
0102,102,122,145,112,182,0
0103,103,132,155,121,191,0
0104,104,134,157,125,194,0
0105,105,137,160,131,200,0
0106,106,141,163,121,189,0
0107,107,148,170,104,172,0
0108,108,153,175,95,162,0
0109,109,152,174,92,159,0
0110,110,147,169,87,153,0
0111,111,145,166,79,145,0
0112,112,141,162,85,151,0
0113,113,134,155,96,162,0
0114,114,117,138,100,166,0
0115,115,112,133,101,167,0
0116,116,110,131,103,169,0
0117,117,95,116,100,166,0
0118,118,87,108,92,158,0
0119,119,89,110,81,147,0
0120,120,94,115,74,140,0
0121,121,100,121,74,140,0
0122,122,108,130,78,144,0
0123,123,112,135,90,156,0
0124,124,120,144,110,176,0
0125,125,124,145,124,190,0
0126,126,127,148,124,190,0
0127,127,129,150,120,186,0
0128,128,137,158,115,181,0
0129,129,140,161,110,176,0
0130,130,133,154,106,172,0
0131,131,127,148,107,173,0
0132,132,119,136,112,178,0
0133,133,109,130,117,183,0
0134,134,87,108,130,196,0
0135,135,77,98,141,207,0
0136,136,72,93,132,197,0
0137,137,70,90,120,185,0
0138,138,73,93,115,180,0
0139,139,82,102,108,172,0
0140,140,91,111,104,168,0
0141,141,100,119,105,169,0
0142,142,108,127,111,174,0
0143,143,115,134,120,183,0
0144,144,123,142,130,193,0
0145,145,136,155,150,212,0
0146,146,132,151,142,204,0
0147,147,137,156,120,182,0
0148,148,140,159,111,172,0
0149,149,136,155,108,169,0
0150,150,132,151,107,168,0
0151,151,128,147,108,169,0
0152,152,122,141,113,174,0
0153,153,115,134,123,184,0
0154,154,102,121,129,190,0
0155,155,102,121,133,194,0
0156,156,103,122,132,193,0
0157,157,107,126,128,189,0
0158,158,113,132,123,184,0
0159,159,121,140,117,178,0
0160,160,128,147,111,172,0
0161,161,129,148,109,170,0
0162,162,130,149,110,171,0
0163,163,130,149,116,176,0
0164,164,128,147,127,187,0
0165,165,131,150,133,192,0
0166,166,132,151,131,190,0
0167,167,134,153,125,183,0
0168,168,139,158,116,174,0
0169,169,137,156,110,168,0
