0001,1,136,188,35,217,0
0002,2,128,182,36,218,0
0003,3,116,179,34,216,0
0004,4,116,178,38,205,0
0005,5,118,178,38,200,0
0006,6,115,170,42,194,0
0007,7,112,168,46,194,0
0008,8,112,167,46,191,0
0009,9,112,168,46,182,0
0010,10,112,170,46,163,0
0011,11,117,170,46,149,0
0012,12,120,180,46,149,0
0013,13,121,181,47,136,0
0014,14,122,183,53,134,0
0015,15,125,186,53,134,0
0016,16,127,187,57,133,0
0017,17,134,188,62,132,0
0018,18,139,191,63,129,0
0019,19,144,192,62,125,0
0020,20,148,192,65,124,0
0021,21,152,193,63,122,0
0022,22,154,193,62,120,0
0023,23,157,195,54,116,0
0024,24,159,196,49,113,0
0025,25,160,197,47,112,0
0026,26,160,197,45,110,0
0027,27,160,197,45,110,0
0028,28,163,200,42,107,0
0029,29,164,201,42,107,0
0030,30,164,201,26,105,0
0031,31,164,201,26,105,0
0032,32,168,205,21,100,0
0033,33,168,208,30,100,0
0034,34,169,209,28,98,0
0035,35,156,213,32,95,0
0036,36,156,213,36,91,0
0037,37,156,215,39,87,0
0038,38,156,218,42,82,0
0039,39,159,218,44,80,0
0040,40,161,220,46,81,0
0041,41,161,220,46,81,0
0042,42,162,221,46,81,0
0043,43,162,221,46,83,0
0044,44,162,221,46,90,0
0045,45,166,220,46,92,0
0046,46,172,223,46,97,0
0047,47,172,223,44,99,0
0048,48,172,225,44,103,0
0049,49,175,225,44,103,0
0050,50,175,225,44,108,0
0051,51,178,225,44,112,0
0052,52,179,226,45,113,0
0053,53,181,226,48,116,0
0054,54,184,227,52,120,0
0055,55,185,227,58,126,0
0056,56,187,223,54,131,0
0057,57,187,219,63,135,0
0058,58,188,218,75,140,0
0059,59,188,218,85,147,0
0060,60,187,213,96,151,0
0061,61,185,211,105,160,0
0062,62,182,215,110,165,0
0063,63,180,219,120,170,0
0064,64,177,231,127,172,0
0065,65,175,231,134,175,0
0066,66,175,231,142,177,0
0067,67,176,232,148,179,0
0068,68,178,234,156,187,0
0069,69,179,235,163,194,0
0070,70,184,232,167,205,0
0071,71,189,230,170,208,0
0072,72,194,226,178,209,0
0073,73,196,228,180,211,0
0074,74,199,231,180,211,0
0075,75,201,233,177,208,0
0076,76,203,235,173,204,0
0077,77,205,237,170,201,0
0078,78,207,239,166,197,0
0079,79,209,247,160,191,0
0080,80,210,251,154,185,0
0081,81,212,253,151,179,0
0082,82,214,255,146,174,0
0083,83,215,264,145,170,0
0084,84,217,266,142,167,0
0085,85,217,266,138,163,0
0086,86,217,266,135,160,0
0087,87,219,268,132,157,0
0088,88,218,267,131,156,0
0089,89,211,266,127,152,0
0090,90,211,266,127,152,0
0091,91,211,266,126,151,0
0092,92,211,269,125,152,0
0093,93,211,274,122,156,0
0094,94,211,274,117,156,0
0095,95,211,274,117,156,0
0096,96,211,274,113,156,0
0097,97,211,274,108,156,0
0098,98,211,274,108,156,0
0099,99,211,274,105,155,0
0100,100,211,274,101,156,0
0101,101,226,274,97,161,0
0102,102,226,274,94,161,0
0103,103,226,274,92,161,0
0104,104,230,274,89,161,0
0105,105,230,274,89,161,0
0106,106,230,274,89,161,0
0107,107,230,274,84,160,0
0108,108,230,274,84,160,0
0109,109,230,274,84,160,0
0110,110,230,274,81,161,0
0111,111,230,274,81,161,0
0112,112,230,274,79,161,0
0113,113,230,274,79,161,0
0114,114,230,274,79,161,0
0115,115,230,274,79,161,0
0116,116,230,278,79,166,0
0117,117,230,278,79,166,0
0118,118,230,278,79,166,0
0119,119,230,278,79,166,0
0120,120,230,278,79,166,0
0121,121,230,282,79,166,0
0122,122,230,283,79,170,0
