0001,1,110,147,111,227,0
0002,2,110,147,112,228,0
0003,3,111,148,112,227,0
0004,4,111,148,112,227,0
0005,5,112,149,113,227,0
0006,6,112,149,113,227,0
0007,7,113,149,113,226,0
0008,8,113,149,113,226,0
0009,9,114,150,113,225,0
0010,10,115,151,113,224,0
0011,11,116,152,113,224,0
0012,12,118,153,116,226,0
0013,13,119,153,119,228,0
0014,14,121,155,119,227,0
0015,15,123,158,118,225,0
0016,16,124,159,118,224,0
0017,17,123,158,118,223,0
0018,18,121,156,119,223,0
0019,19,118,153,120,223,0
0020,20,115,149,122,224,0
0021,21,112,146,122,223,0
0022,22,110,144,123,223,0
0023,23,108,142,124,223,0
0024,24,105,138,125,223,0
0025,25,103,136,125,222,0
0026,26,102,135,125,221,0
0027,27,102,134,125,221,0
0028,28,101,133,124,219,0
0029,29,101,133,121,215,0
0030,30,100,131,118,211,0
0031,31,99,130,115,207,0
0032,32,99,130,114,206,0
0033,33,98,129,113,204,0
0034,34,94,124,114,204,0
0035,35,95,125,112,201,0
0036,36,97,127,110,199,0
0037,37,96,126,109,197,0
0038,38,96,126,105,192,0
0039,39,94,123,102,188,0
0040,40,93,122,103,189,0
0041,41,85,114,106,191,0
0042,42,78,107,105,190,0
0043,43,73,102,104,188,0
0044,44,72,101,103,187,0
0045,45,72,101,108,191,0
0046,46,71,100,114,197,0
0047,47,59,88,115,197,0
0048,48,70,99,112,194,0
0049,49,70,99,101,183,0
0050,50,71,100,89,170,0
0051,51,71,100,84,165,0
0052,52,73,102,84,165,0
0053,53,77,106,94,175,0
0054,54,83,112,111,192,0
0055,55,97,126,129,210,0
0056,56,104,133,137,218,0
0057,57,104,133,133,214,0
0058,58,113,142,123,204,0
0059,59,123,152,102,183,0
0060,60,131,160,98,179,0
0061,61,130,159,105,186,0
0062,62,127,156,121,202,0
0063,63,130,158,133,214,0
0064,64,118,146,148,229,0
0065,65,97,125,152,233,0
0066,66,102,130,132,213,0
0067,67,93,121,111,192,0
0068,68,91,118,107,188,0
0069,69,90,117,110,190,0
0070,70,86,113,119,199,0
0071,71,90,117,128,208,0
0072,72,105,132,133,213,0
